skaterFullName,playerId,height,weight,birthDate,birthCity,birthStateProvinceCode,birthCountryCode,draftYear,draftRound,draftOverall,isInHallOfFameYn,currentTeamAbbrev,currentTeamName,shootsCatches,positionCode,gamesPlayed,goals,assists,points,nationalityCode,lastName,firstSeasonForGameType
Travis Hamonic,8474612,73,193,1990-08-16,St. Malo,MB,CAN,2008.0,2.0,53.0,N,DET,Detroit Red Wings,R,D,25,0,2,2,CAN,Hamonic,20102011
Ryan Shea,8478854,73,200,1997-02-11,Milton,MA,USA,2015.0,4.0,121.0,N,PIT,Pittsburgh Penguins,L,D,78,6,26,32,USA,Shea,20232024
Noel Acciari,8478569,71,204,1991-12-01,Johnston,RI,USA,,,,N,PIT,Pittsburgh Penguins,R,C,65,12,12,24,USA,Acciari,20152016
Yanni Gourde,8476826,69,173,1991-12-15,Saint-Narcisse,QC,CAN,,,,N,TBL,Tampa Bay Lightning,L,C,79,9,19,28,CAN,Gourde,20152016
Alexis Lafrenière,8482109,74,191,2001-10-11,St-Eustache,QC,CAN,2020.0,1.0,1.0,N,NYR,New York Rangers,L,L,79,24,31,55,CAN,Lafrenière,20202021
Urho Vaakanainen,8480001,74,202,1999-01-01,Joensuu,,FIN,2017.0,1.0,18.0,N,NYR,New York Rangers,L,D,33,0,6,6,FIN,Vaakanainen,20182019
Georgii Merkulov,8483567,71,174,2000-10-10,Ryazan,,RUS,,,,N,BOS,Boston Bruins,L,C,1,0,0,0,RUS,Merkulov,20232024
Ozzy Wiesblatt,8482103,70,183,2002-03-09,Calgary,AB,CAN,2020.0,1.0,31.0,N,NSH,Nashville Predators,R,C,39,1,4,5,CAN,Wiesblatt,20242025
Sean Couturier,8476461,76,210,1992-12-07,Phoenix,AZ,USA,2011.0,1.0,8.0,N,PHI,Philadelphia Flyers,L,C,76,10,23,33,CAN,Couturier,20112012
Scott Morrow,8482666,74,210,2002-11-01,Darien,CT,USA,2021.0,2.0,40.0,N,NYR,New York Rangers,R,D,29,0,6,6,USA,Morrow,20232024
Dylan Coghlan,8479639,74,205,1998-02-19,Duncan,BC,CAN,,,,N,VGK,Vegas Golden Knights,R,D,3,0,0,0,CAN,Coghlan,20202021
Jonatan Berggren,8481013,71,195,2000-07-16,Uppsala,,SWE,2018.0,2.0,33.0,N,STL,St. Louis Blues,L,R,49,8,12,20,SWE,Berggren,20222023
Luke Evangelista,8482146,72,183,2002-02-21,Toronto,ON,CAN,2020.0,2.0,42.0,N,NSH,Nashville Predators,R,R,78,10,41,51,CAN,Evangelista,20222023
Nick Leddy,8475181,72,205,1991-03-20,Eden Prairie,MN,USA,2009.0,1.0,16.0,N,SJS,San Jose Sharks,L,D,31,1,6,7,USA,Leddy,20102011
Jiri Kulich,8483468,73,193,2004-04-14,Kadan,,CZE,2022.0,1.0,28.0,N,BUF,Buffalo Sabres,L,C,12,3,2,5,CZE,Kulich,20232024
Jonathan Toews,8473604,74,201,1988-04-29,Winnipeg,MB,CAN,2006.0,1.0,3.0,N,WPG,Winnipeg Jets,L,C,78,11,17,28,CAN,Toews,20072008
Luca Pinelli,8484214,69,176,2005-04-05,Stoney Creek,ON,CAN,2023.0,4.0,114.0,N,CBJ,Columbus Blue Jackets,L,C,3,0,0,0,CAN,Pinelli,20252026
Kevin Rooney,8479291,74,190,1993-05-21,Canton,MA,USA,,,,N,UTA,Utah Mammoth,L,C,1,1,0,1,USA,Rooney,20162017
Adrian Kempe,8477960,74,205,1996-09-13,Kramfors,,SWE,2014.0,1.0,29.0,N,LAK,Los Angeles Kings,L,R,77,34,37,71,SWE,Kempe,20162017
Conor Geekie,8483447,76,212,2004-05-05,Strathclair,MB,CAN,2022.0,1.0,11.0,N,TBL,Tampa Bay Lightning,L,C,12,0,2,2,CAN,Geekie,20242025
Egor Chinakhov,8482475,73,203,2001-02-01,Omsk,,RUS,2020.0,1.0,21.0,N,PIT,Pittsburgh Penguins,L,R,70,21,21,42,RUS,Chinakhov,20212022
Radko Gudas,8475462,72,208,1990-06-05,Prague,,CZE,2010.0,3.0,66.0,N,ANA,Anaheim Ducks,R,D,55,2,11,13,CZE,Gudas,20122013
Owen Beck,8483424,72,199,2004-02-03,Port Hope,ON,CAN,2022.0,2.0,33.0,N,MTL,Montréal Canadiens,R,C,15,1,0,1,CAN,Beck,20222023
Tim Washe,8485512,75,212,2001-08-25,Detroit,MI,USA,,,,N,ANA,Anaheim Ducks,L,C,36,2,3,5,USA,Washe,20242025
Brendan Brisson,8482153,72,188,2001-10-22,Los Angeles,CA,USA,2020.0,1.0,29.0,N,NYR,New York Rangers,L,C,3,0,1,1,USA,Brisson,20232024
Conor Timmins,8479982,75,213,1998-09-18,St. Catharines,ON,CAN,2017.0,2.0,32.0,N,BUF,Buffalo Sabres,R,D,37,0,8,8,CAN,Timmins,20192020
Tomas Hertl,8476881,75,220,1993-11-12,Praha,,CZE,2012.0,1.0,17.0,N,VGK,Vegas Golden Knights,L,C,79,24,32,56,CZE,Hertl,20132014
Nikita Grebenkin,8483733,74,210,2003-05-02,Serov,,RUS,2022.0,5.0,135.0,N,PHI,Philadelphia Flyers,L,R,55,4,10,14,RUS,Grebenkin,20242025
Aatu Räty,8482691,74,204,2002-11-14,Oulu,,FIN,2021.0,2.0,52.0,N,VAN,Vancouver Canucks,L,C,62,4,9,13,FIN,Räty,20222023
Albert Johansson,8481607,72,195,2001-01-04,Karlstad,,SWE,2019.0,2.0,60.0,N,DET,Detroit Red Wings,L,D,79,3,8,11,SWE,Johansson,20242025
Gabe Perreault,8484210,71,180,2005-05-07,Sherbrooke,QC,CAN,2023.0,1.0,23.0,N,NYR,New York Rangers,L,R,46,10,15,25,CAN,Perreault,20242025
Nick Lardis,8484185,71,165,2005-07-08,Oakville,ON,CAN,2023.0,3.0,67.0,N,CHI,Chicago Blackhawks,L,L,38,9,5,14,CAN,Lardis,20252026
Nikita Zadorov,8477507,79,255,1995-04-16,Moscow,,RUS,2013.0,1.0,16.0,N,BOS,Boston Bruins,L,D,78,2,20,22,RUS,Zadorov,20132014
Joel Armia,8476469,75,215,1993-05-31,Pori,,FIN,2011.0,1.0,16.0,N,LAK,Los Angeles Kings,R,R,63,13,12,25,FIN,Armia,20142015
Riley Stillman,8479388,74,207,1998-03-09,Peterborough,ON,CAN,2016.0,4.0,114.0,N,EDM,Edmonton Oilers,L,D,4,0,0,0,CAN,Stillman,20182019
Blake Lizotte,8481481,69,176,1997-12-13,Lindstrom,MN,USA,,,,N,PIT,Pittsburgh Penguins,L,C,55,7,12,19,USA,Lizotte,20182019
Teuvo Teravainen,8476882,71,191,1994-09-11,Helsinki,,FIN,2012.0,1.0,18.0,N,CHI,Chicago Blackhawks,L,C,72,14,21,35,FIN,Teravainen,20132014
Matthew Knies,8482720,75,232,2002-10-17,Phoenix,AZ,USA,2021.0,2.0,57.0,N,TOR,Toronto Maple Leafs,L,L,76,23,41,64,USA,Knies,20222023
Ilya Mikheyev,8481624,74,192,1994-10-10,Omsk,,RUS,,,,N,CHI,Chicago Blackhawks,L,R,74,16,17,33,RUS,Mikheyev,20192020
Paul Cotter,8481032,74,213,1999-11-16,Canton,MI,USA,2018.0,4.0,115.0,N,NJD,New Jersey Devils,L,L,76,9,6,15,USA,Cotter,20212022
Josh Mahura,8479372,72,193,1998-05-05,St. Albert,AB,CAN,2016.0,3.0,85.0,N,SEA,Seattle Kraken,L,D,22,1,2,3,CAN,Mahura,20182019
Will Borgen,8478840,75,199,1996-12-19,Moorhead,MN,USA,2015.0,4.0,92.0,N,NYR,New York Rangers,R,D,72,5,10,15,USA,Borgen,20182019
Brian Halonen,8483531,72,207,1999-01-11,Delano,MN,USA,,,,N,NJD,New Jersey Devils,R,L,13,1,1,2,USA,Halonen,20232024
Mason Lohrei,8482511,77,218,2001-01-17,Baton Rouge,LA,USA,2020.0,2.0,58.0,N,BOS,Boston Bruins,L,D,70,7,18,25,USA,Lohrei,20232024
Kiefer Sherwood,8480748,72,194,1995-03-31,Columbus,OH,USA,,,,N,SJS,San Jose Sharks,R,L,68,23,10,33,USA,Sherwood,20182019
Alex DeBrincat,8479337,68,180,1997-12-18,Farmington Hills,MI,USA,2016.0,2.0,39.0,N,DET,Detroit Red Wings,R,R,79,40,43,83,USA,DeBrincat,20172018
Michael Carcone,8479619,69,182,1996-05-19,Ajax,ON,CAN,,,,N,UTA,Utah Mammoth,L,L,75,15,15,30,CAN,Carcone,20212022
Scott Sabourin,8477149,75,205,1992-07-30,Orleans,ON,CAN,,,,N,TBL,Tampa Bay Lightning,R,R,23,1,3,4,CAN,Sabourin,20192020
Dylan Cozens,8481528,75,205,2001-02-09,Whitehorse,YT,CAN,2019.0,1.0,7.0,N,OTT,Ottawa Senators,R,C,79,27,30,57,CAN,Cozens,20202021
Noah Juulsen,8478454,74,201,1997-04-02,Surrey,BC,CAN,2015.0,1.0,26.0,N,PHI,Philadelphia Flyers,R,D,51,1,9,10,CAN,Juulsen,20172018
Brandon Hagel,8479542,74,186,1998-08-27,Saskatoon,SK,CAN,2016.0,6.0,159.0,N,TBL,Tampa Bay Lightning,L,L,69,35,38,73,CAN,Hagel,20192020
Zachary L'Heureux,8482742,71,197,2003-05-15,Montréal,QC,CAN,2021.0,1.0,27.0,N,NSH,Nashville Predators,L,L,22,4,1,5,CAN,L'Heureux,20242025
Alexander Wennberg,8477505,74,190,1994-09-22,Stockholm,,SWE,2013.0,1.0,14.0,N,SJS,San Jose Sharks,L,C,77,18,36,54,SWE,Wennberg,20142015
Cole Smith,8482062,75,195,1995-10-28,Brainerd,MN,USA,,,,N,VGK,Vegas Golden Knights,L,R,60,8,4,12,USA,Smith,20202021
Cam York,8481546,72,194,2001-01-05,Anaheim,CA,USA,2019.0,1.0,14.0,N,PHI,Philadelphia Flyers,L,D,72,4,22,26,USA,York,20202021
Tyler Pitlick,8475752,74,199,1991-11-01,Minneapolis,MN,USA,2010.0,2.0,31.0,N,MIN,Minnesota Wild,R,C,32,2,0,2,USA,Pitlick,20132014
Haydn Fleury,8477938,76,207,1996-07-08,Carlyle,SK,CAN,2014.0,1.0,7.0,N,WPG,Winnipeg Jets,L,D,35,1,2,3,CAN,Fleury,20172018
Teddy Blueger,8476927,72,185,1994-08-15,Riga,,LVA,2012.0,2.0,52.0,N,VAN,Vancouver Canucks,L,C,31,8,8,16,LVA,Blueger,20182019
Isaac Howard,8483455,70,180,2004-03-30,Hudson,WI,USA,2022.0,1.0,31.0,N,EDM,Edmonton Oilers,L,L,28,2,3,5,USA,Howard,20252026
Logan Mailloux,8482733,75,212,2003-04-15,Belle River,ON,CAN,2021.0,1.0,31.0,N,STL,St. Louis Blues,R,D,63,3,6,9,CAN,Mailloux,20232024
Dante Fabbro,8479371,72,200,1998-06-20,Coquitlam,BC,CAN,2016.0,1.0,17.0,N,CBJ,Columbus Blue Jackets,R,D,71,5,5,10,CAN,Fabbro,20182019
Eric Robinson,8480762,74,220,1995-06-14,Bellmawr,NJ,USA,,,,N,CAR,Carolina Hurricanes,L,L,64,12,6,18,USA,Robinson,20172018
Dylan DeMelo,8476331,73,194,1993-05-01,London,ON,CAN,2011.0,6.0,179.0,N,WPG,Winnipeg Jets,R,D,78,3,16,19,CAN,DeMelo,20152016
